100
200
50;10
15;5
36;24
34;2
21;22
25;28
48;32
48;2
37;36
20;9
3;30
30;31
29;39
18;3
45;43
32;20
20;24
17;47
28;5
15;30
19;12
18;2
32;29
34;43
50;28
48;42
18;11
10;32
46;9
15;15
28;1
46;36
5;48
13;38
22;38
29;28
45;15
11;13
49;15
22;49
40;12
27;27
17;11
22;22
36;8
46;19
45;40
7;41
6;46
38;32
1;15
24;4
13;15
16;12
49;18
11;43
27;9
12;8
29;26
50;31
7;9
48;32
7;43
10;40
33;14
7;16
5;10
33;23
2;17
50;14
27;47
19;20
36;19
48;30
20;4
35;11
31;37
39;29
30;11
19;43
43;22
12;28
40;27
45;28
33;41
3;36
26;3
45;8
20;12
15;13
12;9
11;12
20;14
30;48
14;18
32;15
41;21
6;16
37;38
33;18
